"Table 2. Life table for males: United States, 2010",,,,,,
,,,,, Total,
32-33,0.001475,"97,163",143,"97,091","4,461,282",45.9
33-34,0.001506,"97,020",146,"96,947","4,364,191",45.0
34-35,0.001542,"96,874",149,"96,799","4,267,244",44.0
35-36,0.001592,"96,724",154,"96,647","4,170,445",43.1
36-37,0.001659,"96,570",160,"96,490","4,073,798",42.2
37-38,0.001738,"96,410",168,"96,326","3,977,307",41.3
38-39,0.001830,"96,243",176,"96,154","3,880,981",40.3
39-40,0.001941,"96,066",186,"95,973","3,784,827",39.4
40-41,0.002064,"95,880",198,"95,781","3,688,853",38.5
41-42,0.002217,"95,682",212,"95,576","3,593,072",37.6
42-43,0.002421,"95,470",231,"95,354","3,497,496",36.6
43-44,0.002684,"95,239",256,"95,111","3,402,142",35.7
44-45,0.002987,"94,983",284,"94,841","3,307,031",34.8
45-46,0.003303,"94,699",313,"94,543","3,212,190",33.9
46-47,0.003624,"94,387",342,"94,216","3,117,647",33.0
47-48,0.003968,"94,045",373,"93,858","3,023,431",32.1
48-49,0.004342,"93,671",407,"93,468","2,929,573",31.3
49-50,0.004746,"93,265",443,"93,043","2,836,105",30.4
50-51,0.005172,"92,822",480,"92,582","2,743,061",29.6
51-52,0.005617,"92,342",519,"92,083","2,650,479",28.7
52-53,0.006093,"91,823",559,"91,544","2,558,397",27.9
53-54,0.006611,"91,264",603,"90,962","2,466,853",27.0
54-55,0.007174,"90,660",650,"90,335","2,375,891",26.2
55-56,0.007792,"90,010",701,"89,659","2,285,556",25.4
56-57,0.008451,"89,309",755,"88,931","2,195,897",24.6
57-58,0.009121,"88,554",808,"88,150","2,106,965",23.8
58-59,0.009775,"87,746",858,"87,317","2,018,815",23.0
59-60,0.010415,"86,889",905,"86,436","1,931,498",22.2
60-61,0.011075,"85,984",952,"85,507","1,845,062",21.5
61-62,0.011791,"85,031","1,003","84,530","1,759,554",20.7
62-63,0.012577,"84,029","1,057","83,500","1,675,024",19.9
63-64,0.013484,"82,972","1,119","82,412","1,591,524",19.2
64-65,0.014542,"81,853","1,190","81,258","1,509,111",18.4
65-66,0.015783,"80,663","1,273","80,026","1,427,853",17.7
66-67,0.017195,"79,390","1,365","78,707","1,347,827",17.0
67-68,0.018699,"78,025","1,459","77,295","1,269,120",16.3
68-69,0.020247,"76,566","1,550","75,790","1,191,825",15.6
69-70,0.021917,"75,015","1,644","74,193","1,116,035",14.9
70-71,0.023725,"73,371","1,741","72,501","1,041,841",14.2
71-72,0.025734,"71,631","1,843","70,709","969,340",13.5
72-73,0.028077,"69,787","1,959","68,808","898,631",12.9
73-74,0.030750,"67,828","2,086","66,785","829,824",12.2
74-75,0.033815,"65,742","2,223","64,631","763,039",11.6
75-76,0.037090,"63,519","2,356","62,341","698,408",11.0
76-77,0.040540,"61,163","2,480","59,923","636,067",10.4
77-78,0.044677,"58,684","2,622","57,373","576,144",9.8
78-79,0.049227,"56,062","2,760","54,682","518,771",9.3
79-80,0.054348,"53,302","2,897","51,854","464,089",8.7
80-81,0.060110,"50,405","3,030","48,890","412,236",8.2
81-82,0.066576,"47,375","3,154","45,798","363,346",7.7
82-83,0.073449,"44,221","3,248","42,597","317,547",7.2
83-84,0.080709,"40,973","3,307","39,320","274,950",6.7
84-85,0.090777,"37,666","3,419","35,957","235,630",6.3
85-86,0.101080,"34,247","3,462","32,516","199,674",5.8
86-87,0.112324,"30,785","3,458","29,056","167,157",5.4
87-88,0.124544,"27,327","3,403","25,626","138,101",5.1
88-89,0.137762,"23,924","3,296","22,276","112,475",4.7
89-90,0.151991,"20,628","3,135","19,061","90,199",4.4
90-91,0.167224,"17,493","2,925","16,030","71,139",4.1
91-92,0.183440,"14,568","2,672","13,232","55,108",3.8
92-93,0.200596,"11,895","2,386","10,702","41,877",3.5
93-94,0.218632,"9,509","2,079","8,470","31,175",3.3
94-95,0.237462,"7,430","1,764","6,548","22,705",3.1
95-96,0.256985,"5,666","1,456","4,938","16,157",2.9
96-97,0.277076,"4,210","1,166","3,627","11,219",2.7
97-98,0.297597,"3,043",906,"2,591","7,593",2.5
98-99,0.318395,"2,138",681,"1,797","5,002",2.3
99-100,0.339311,"1,457",494,"1,210","3,205",2.2
100 and over,1.000000,963,963,"1,995","1,995",2.1
