"Table 2. Life table for males: United States, 2011",,,,,,,
,Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,
65-66,0.015482,"80,723","1,250","80,098","1,437,332",17.8,
66-67,0.016824,"79,473","1,337","78,804","1,357,234",17.1,
67-68,0.018330,"78,136","1,432","77,420","1,278,430",16.4,
68-69,0.019900,"76,703","1,526","75,940","1,201,010",15.7,
69-70,0.021539,"75,177","1,619","74,367","1,125,070",15.0,
70-71,0.023396,"73,558","1,721","72,697","1,050,702",14.3,
71-72,0.025476,"71,837","1,830","70,922","978,005",13.6,
72-73,0.027794,"70,007","1,946","69,034","907,083",13.0,
73-74,0.030350,"68,061","2,066","67,028","838,049",12.3,
74-75,0.033204,"65,995","2,191","64,900","771,021",11.7,
75-76,0.036345,"63,804","2,319","62,645","706,121",11.1,
76-77,0.039788,"61,485","2,446","60,262","643,477",10.5,
77-78,0.043720,"59,039","2,581","57,748","583,215",9.9,
78-79,0.048335,"56,458","2,729","55,093","525,467",9.3,
79-80,0.053650,"53,729","2,883","52,287","470,374",8.8,
80-81,0.059565,"50,846","3,029","49,332","418,086",8.2,
81-82,0.065848,"47,817","3,149","46,243","368,754",7.7,
82-83,0.072956,"44,669","3,259","43,039","322,511",7.2,
83-84,0.080741,"41,410","3,343","39,738","279,472",6.7,
84-85,0.089357,"38,066","3,402","36,366","239,734",6.3,
85-86,0.099650,"34,665","3,454","32,938","203,368",5.9,
86-87,0.110901,"31,211","3,461","29,480","170,430",5.5,
87-88,0.123146,"27,749","3,417","26,041","140,950",5.1,
88-89,0.136412,"24,332","3,319","22,672","114,910",4.7,
89-90,0.150710,"21,013","3,167","19,429","92,237",4.4,
90-91,0.166038,"17,846","2,963","16,364","72,808",4.1,
91-92,0.182374,"14,883","2,714","13,526","56,443",3.8,
92-93,0.199676,"12,169","2,430","10,954","42,918",3.5,
93-94,0.217880,"9,739","2,122","8,678","31,964",3.3,
94-95,0.236903,"7,617","1,804","6,715","23,286",3.1,
95-96,0.256636,"5,812","1,492","5,067","16,571",2.9,
96-97,0.276954,"4,321","1,197","3,722","11,505",2.7,
97-98,0.297713,"3,124",930,"2,659","7,782",2.5,
98-99,0.318755,"2,194",699,"1,844","5,123",2.3,
99-100,0.339914,"1,495",508,"1,241","3,279",2.2,
100 and over,1.000000,987,987,"2,038","2,038",2.1,
"SOURCE: CDC/NCHS, National Vital Statistics System.",,,,,,,
