"Table 2. Life table for males: United States, 2013",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
59-60,0.010500,"87,007",914,"86,551","1,950,488",22.4,,,,
60-61,0.011256,"86,094",969,"85,609","1,863,937",21.7,,,,
61-62,0.012076,"85,125","1,028","84,611","1,778,328",20.9,,,,
62-63,0.012921,"84,097","1,087","83,553","1,693,717",20.1,,,,
63-64,0.013773,"83,010","1,143","82,439","1,610,164",19.4,,,,
64-65,0.014646,"81,867","1,199","81,267","1,527,725",18.7,,,,
65-66,0.015569,"80,668","1,256","80,040","1,446,458",17.9,,,,
66-67,0.016603,"79,412","1,318","78,753","1,366,418",17.2,,,,
67-68,0.017800,"78,094","1,390","77,399","1,287,665",16.5,,,,
68-69,0.019228,"76,704","1,475","75,966","1,210,266",15.8,,,,
69-70,0.020906,"75,229","1,573","74,442","1,134,300",15.1,,,,
70-71,0.022826,"73,656","1,681","72,815","1,059,858",14.4,,,,
71-72,0.024998,"71,975","1,799","71,075","987,043",13.7,,,,
72-73,0.027356,"70,175","1,920","69,216","915,968",13.1,,,,
73-74,0.029913,"68,256","2,042","67,235","846,752",12.4,,,,
74-75,0.032679,"66,214","2,164","65,132","779,517",11.8,,,,
75-76,0.035524,"64,050","2,275","62,912","714,385",11.2,,,,
76-77,0.039010,"61,775","2,410","60,570","651,473",10.5,,,,
77-78,0.043116,"59,365","2,560","58,085","590,903",10.0,,,,
78-79,0.047647,"56,805","2,707","55,452","532,818",9.4,,,,
79-80,0.052626,"54,099","2,847","52,675","477,366",8.8,,,,
80-81,0.058301,"51,252","2,988","49,758","424,691",8.3,,,,
81-82,0.064637,"48,264","3,120","46,704","374,933",7.8,,,,
82-83,0.071412,"45,144","3,224","43,532","328,229",7.3,,,,
83-84,0.079031,"41,920","3,313","40,264","284,697",6.8,,,,
84-85,0.087905,"38,607","3,394","36,910","244,433",6.3,,,,
85-86,0.098958,"35,214","3,485","33,471","207,523",5.9,,,,
86-87,0.110149,"31,729","3,495","29,981","174,052",5.5,,,,
87-88,0.122333,"28,234","3,454","26,507","144,070",5.1,,,,
88-89,0.135536,"24,780","3,359","23,101","117,563",4.7,,,,
89-90,0.149773,"21,421","3,208","19,817","94,462",4.4,,,,
90-91,0.165040,"18,213","3,006","16,710","74,645",4.1,,,,
91-92,0.181318,"15,207","2,757","13,829","57,935",3.8,,,,
92-93,0.198565,"12,450","2,472","11,214","44,107",3.5,,,,
93-94,0.216721,"9,978","2,162","8,897","32,893",3.3,,,,
94-95,0.235701,"7,815","1,842","6,894","23,996",3.1,,,,
95-96,0.255399,"5,973","1,526","5,210","17,102",2.9,,,,
96-97,0.275691,"4,448","1,226","3,835","11,891",2.7,,,,
97-98,0.296433,"3,222",955,"2,744","8,057",2.5,,,,
98-99,0.317468,"2,267",720,"1,907","5,313",2.3,,,,
99-100,0.338631,"1,547",524,"1,285","3,406",2.2,,,,
