"Table 2. Life table for males: United States, 2015",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
48-49,0.004070,"93,459",380,"93,269","2,942,797",31.5
49-50,0.004537,"93,079",422,"92,868","2,849,528",30.6
50-51,0.005022,"92,657",465,"92,424","2,756,660",29.8
51-52,0.005510,"92,191",508,"91,937","2,664,236",28.9
52-53,0.006027,"91,683",553,"91,407","2,572,299",28.1
53-54,0.006583,"91,131",600,"90,831","2,480,892",27.2
54-55,0.007177,"90,531",650,"90,206","2,390,061",26.4
55-56,0.007801,"89,881",701,"89,530","2,299,855",25.6
56-57,0.008444,"89,180",753,"88,803","2,210,324",24.8
57-58,0.009116,"88,427",806,"88,024","2,121,521",24.0
58-59,0.009826,"87,621",861,"87,190","2,033,497",23.2
59-60,0.010584,"86,760",918,"86,301","1,946,307",22.4
60-61,0.011413,"85,842",980,"85,352","1,860,006",21.7
61-62,0.012301,"84,862","1,044","84,340","1,774,655",20.9
62-63,0.013202,"83,818","1,107","83,265","1,690,315",20.2
63-64,0.014075,"82,711","1,164","82,129","1,607,050",19.4
64-65,0.014931,"81,547","1,218","80,938","1,524,921",18.7
65-66,0.015806,"80,330","1,270","79,695","1,443,983",18.0
66-67,0.016783,"79,060","1,327","78,396","1,364,288",17.3
67-68,0.017892,"77,733","1,391","77,038","1,285,891",16.5
68-69,0.019205,"76,342","1,466","75,609","1,208,854",15.8
69-70,0.020817,"74,876","1,559","74,097","1,133,245",15.1
70-71,0.022804,"73,317","1,672","72,481","1,059,148",14.4
71-72,0.025029,"71,646","1,793","70,749","986,666",13.8
72-73,0.027354,"69,852","1,911","68,897","915,917",13.1
73-74,0.029799,"67,942","2,025","66,929","847,020",12.5
74-75,0.032458,"65,917","2,140","64,847","780,091",11.8
75-76,0.035395,"63,777","2,257","62,649","715,244",11.2
76-77,0.038808,"61,520","2,387","60,326","652,595",10.6
77-78,0.042532,"59,133","2,515","57,875","592,269",10.0
78-79,0.046850,"56,618","2,653","55,291","534,394",9.4
79-80,0.051917,"53,965","2,802","52,564","479,102",8.9
80-81,0.057631,"51,163","2,949","49,689","426,538",8.3
81-82,0.064030,"48,215","3,087","46,671","376,849",7.8
82-83,0.070871,"45,128","3,198","43,528","330,178",7.3
83-84,0.078217,"41,929","3,280","40,290","286,650",6.8
84-85,0.086915,"38,650","3,359","36,970","246,360",6.4
85-86,0.096237,"35,290","3,396","33,592","209,390",5.9
86-87,0.107643,"31,894","3,433","30,178","175,798",5.5
87-88,0.120117,"28,461","3,419","26,752","145,620",5.1
88-89,0.133690,"25,042","3,348","23,368","118,868",4.7
89-90,0.148381,"21,694","3,219","20,085","95,500",4.4
90-91,0.164189,"18,475","3,033","16,959","75,415",4.1
91-92,0.181092,"15,442","2,796","14,044","58,456",3.8
92-93,0.199046,"12,646","2,517","11,387","44,413",3.5
93-94,0.217982,"10,128","2,208","9,025","33,026",3.3
94-95,0.237802,"7,921","1,884","6,979","24,001",3.0
95-96,0.258387,"6,037","1,560","5,257","17,022",2.8
96-97,0.279592,"4,477","1,252","3,851","11,765",2.6
97-98,0.301253,"3,225",972,"2,740","7,914",2.5
98-99,0.323192,"2,254",728,"1,890","5,174",2.3
99-100,0.345218,"1,525",527,"1,262","3,285",2.2
