"Table 2. Life table for males: United States, 2017",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
45-46,0.003280,"93,903",308,"93,749","3,210,728",34.2
46-47,0.003520,"93,595",329,"93,430","3,116,979",33.3
47-48,0.003804,"93,265",355,"93,088","3,023,549",32.4
48-49,0.004146,"92,910",385,"92,718","2,930,462",31.5
49-50,0.004547,"92,525",421,"92,315","2,837,744",30.7
50-51,0.004978,"92,105",459,"91,875","2,745,429",29.8
51-52,0.005441,"91,646",499,"91,397","2,653,554",29.0
52-53,0.005965,"91,147",544,"90,876","2,562,157",28.1
53-54,0.006549,"90,604",593,"90,307","2,471,281",27.3
54-55,0.007170,"90,010",645,"89,688","2,380,974",26.5
55-56,0.007803,"89,365",697,"89,016","2,291,287",25.6
56-57,0.008445,"88,668",749,"88,293","2,202,270",24.8
57-58,0.009116,"87,919",801,"87,518","2,113,977",24.0
58-59,0.009838,"87,117",857,"86,689","2,026,459",23.3
59-60,0.010619,"86,260",916,"85,802","1,939,770",22.5
60-61,0.011470,"85,344",979,"84,855","1,853,967",21.7
61-62,0.012361,"84,365","1,043","83,844","1,769,113",21.0
62-63,0.013260,"83,323","1,105","82,770","1,685,269",20.2
63-64,0.014140,"82,218","1,163","81,636","1,602,498",19.5
64-65,0.015019,"81,055","1,217","80,446","1,520,862",18.8
65-66,0.015942,"79,838","1,273","79,201","1,440,416",18.0
66-67,0.017026,"78,565","1,338","77,896","1,361,214",17.3
67-68,0.018189,"77,227","1,405","76,525","1,283,318",16.6
68-69,0.019483,"75,823","1,477","75,084","1,206,793",15.9
69-70,0.020990,"74,345","1,561","73,565","1,131,709",15.2
70-71,0.022448,"72,785","1,634","71,968","1,058,144",14.5
71-72,0.024631,"71,151","1,753","70,275","986,176",13.9
72-73,0.026570,"69,399","1,844","68,477","915,901",13.2
73-74,0.029040,"67,555","1,962","66,574","847,424",12.5
74-75,0.031539,"65,593","2,069","64,558","780,851",11.9
75-76,0.034644,"63,524","2,201","62,424","716,292",11.3
76-77,0.038148,"61,323","2,339","60,154","653,869",10.7
77-78,0.042250,"58,984","2,492","57,738","593,715",10.1
78-79,0.046522,"56,492","2,628","55,178","535,977",9.5
79-80,0.051401,"53,864","2,769","52,479","480,799",8.9
80-81,0.056783,"51,095","2,901","49,644","428,320",8.4
81-82,0.062514,"48,194","3,013","46,687","378,675",7.9
82-83,0.069452,"45,181","3,138","43,612","331,988",7.3
83-84,0.077622,"42,043","3,263","40,411","288,376",6.9
84-85,0.086155,"38,780","3,341","37,109","247,965",6.4
85-86,0.095450,"35,439","3,383","33,747","210,855",5.9
86-87,0.105788,"32,056","3,391","30,360","177,108",5.5
87-88,0.118527,"28,665","3,398","26,966","146,748",5.1
88-89,0.132437,"25,267","3,346","23,594","119,782",4.7
89-90,0.147541,"21,921","3,234","20,304","96,188",4.4
90-91,0.163839,"18,687","3,062","17,156","75,884",4.1
91-92,0.181308,"15,625","2,833","14,209","58,728",3.8
92-93,0.199900,"12,792","2,557","11,514","44,519",3.5
93-94,0.219535,"10,235","2,247","9,112","33,006",3.2
94-95,0.240108,"7,988","1,918","7,029","23,894",3.0
95-96,0.261480,"6,070","1,587","5,276","16,865",2.8
96-97,0.283491,"4,483","1,271","3,847","11,589",2.6
97-98,0.305955,"3,212",983,"2,721","7,741",2.4
98-99,0.328673,"2,229",733,"1,863","5,021",2.3
99-100,0.351434,"1,497",526,"1,234","3,158",2.1
