"Table 3. Life table for females: United States, 2013",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
62-63,0.007638,"90,261",689,"89,916","2,069,896",22.9,,,,
63-64,0.008279,"89,571",742,"89,201","1,979,980",22.1,,,,
64-65,0.009003,"88,830",800,"88,430","1,890,779",21.3,,,,
65-66,0.009813,"88,030",864,"87,598","1,802,349",20.5,,,,
66-67,0.010703,"87,166",933,"86,700","1,714,751",19.7,,,,
67-68,0.011675,"86,233","1,007","85,730","1,628,051",18.9,,,,
68-69,0.012753,"85,227","1,087","84,683","1,542,321",18.1,,,,
69-70,0.013958,"84,140","1,174","83,552","1,457,638",17.3,,,,
70-71,0.015325,"82,965","1,271","82,329","1,374,086",16.6,,,,
71-72,0.016892,"81,694","1,380","81,004","1,291,756",15.8,,,,
72-73,0.018650,"80,314","1,498","79,565","1,210,752",15.1,,,,
73-74,0.020487,"78,816","1,615","78,009","1,131,188",14.4,,,,
74-75,0.022554,"77,201","1,741","76,331","1,053,179",13.6,,,,
75-76,0.024831,"75,460","1,874","74,523","976,848",12.9,,,,
76-77,0.027514,"73,586","2,025","72,574","902,325",12.3,,,,
77-78,0.030684,"71,562","2,196","70,464","829,751",11.6,,,,
78-79,0.034250,"69,366","2,376","68,178","759,288",10.9,,,,
79-80,0.038265,"66,990","2,563","65,708","691,110",10.3,,,,
80-81,0.042554,"64,427","2,742","63,056","625,401",9.7,,,,
81-82,0.047066,"61,685","2,903","60,233","562,346",9.1,,,,
82-83,0.052561,"58,782","3,090","57,237","502,112",8.5,,,,
83-84,0.058864,"55,692","3,278","54,053","444,875",8.0,,,,
84-85,0.066285,"52,414","3,474","50,677","390,822",7.5,,,,
85-86,0.074167,"48,940","3,630","47,125","340,145",7.0,,,,
86-87,0.083469,"45,310","3,782","43,419","293,021",6.5,,,,
87-88,0.093753,"41,528","3,893","39,581","249,602",6.0,,,,
88-89,0.105076,"37,635","3,955","35,657","210,021",5.6,,,,
89-90,0.117487,"33,680","3,957","31,702","174,363",5.2,,,,
90-91,0.131021,"29,723","3,894","27,776","142,662",4.8,,,,
91-92,0.145700,"25,829","3,763","23,947","114,886",4.4,,,,
92-93,0.161528,"22,066","3,564","20,283","90,939",4.1,,,,
93-94,0.178486,"18,501","3,302","16,850","70,655",3.8,,,,
94-95,0.196532,"15,199","2,987","13,706","53,805",3.5,,,,
95-96,0.215597,"12,212","2,633","10,896","40,099",3.3,,,,
96-97,0.235585,"9,579","2,257","8,451","29,204",3.0,,,,
97-98,0.256372,"7,322","1,877","6,384","20,753",2.8,,,,
98-99,0.277812,"5,445","1,513","4,689","14,369",2.6,,,,
99-100,0.299734,"3,932","1,179","3,343","9,681",2.5,,,,
