"Table 3. Life table for females: United States, 2014",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
83-84,0.058186,"55,920","3,254","54,293","452,461",8.1,,,,
84-85,0.065335,"52,666","3,441","50,946","398,168",7.6,,,,
85-86,0.072706,"49,225","3,579","47,436","347,222",7.1,,,,
86-87,0.081769,"45,646","3,732","43,780","299,786",6.6,,,,
87-88,0.091787,"41,914","3,847","39,990","256,006",6.1,,,,
88-89,0.102817,"38,067","3,914","36,110","216,016",5.7,,,,
89-90,0.114907,"34,153","3,924","32,191","179,906",5.3,,,,
90-91,0.128096,"30,228","3,872","28,292","147,715",4.9,,,,
91-92,0.142408,"26,356","3,753","24,480","119,423",4.5,,,,
92-93,0.157850,"22,603","3,568","20,819","94,943",4.2,,,,
93-94,0.174410,"19,035","3,320","17,375","74,124",3.9,,,,
94-95,0.192051,"15,715","3,018","14,206","56,749",3.6,,,,
95-96,0.210713,"12,697","2,675","11,359","42,543",3.4,,,,
96-97,0.230308,"10,022","2,308","8,868","31,183",3.1,,,,
97-98,0.250724,"7,714","1,934","6,747","22,316",2.9,,,,
98-99,0.271822,"5,780","1,571","4,994","15,569",2.7,,,,
99-100,0.293443,"4,209","1,235","3,591","10,575",2.5,,,,
