"Table 3. Life table for females: United States, 2015",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
73-74,0.020515,"78,690","1,614","77,883","1,130,687",14.4
74-75,0.022528,"77,076","1,736","76,208","1,052,804",13.7
75-76,0.024780,"75,340","1,867","74,406","976,596",13.0
76-77,0.027308,"73,473","2,006","72,470","902,190",12.3
77-78,0.030300,"71,466","2,165","70,384","829,721",11.6
78-79,0.033840,"69,301","2,345","68,128","759,337",11.0
79-80,0.037844,"66,956","2,534","65,689","691,209",10.3
80-81,0.042223,"64,422","2,720","63,062","625,520",9.7
81-82,0.047002,"61,702","2,900","60,252","562,458",9.1
82-83,0.052739,"58,802","3,101","57,251","502,206",8.5
83-84,0.059026,"55,701","3,288","54,057","444,955",8.0
84-85,0.066100,"52,413","3,464","50,681","390,898",7.5
85-86,0.073764,"48,948","3,611","47,143","340,218",7.0
86-87,0.083117,"45,338","3,768","43,454","293,075",6.5
87-88,0.093469,"41,569","3,885","39,627","249,622",6.0
88-89,0.104878,"37,684","3,952","35,708","209,995",5.6
89-90,0.117395,"33,732","3,960","31,752","174,287",5.2
90-91,0.131057,"29,772","3,902","27,821","142,535",4.8
91-92,0.145887,"25,870","3,774","23,983","114,714",4.4
92-93,0.161887,"22,096","3,577","20,307","90,731",4.1
93-94,0.179040,"18,519","3,316","16,861","70,424",3.8
94-95,0.197299,"15,203","3,000","13,703","53,563",3.5
95-96,0.216593,"12,204","2,643","10,882","39,860",3.3
96-97,0.236822,"9,560","2,264","8,428","28,978",3.0
97-98,0.257858,"7,296","1,881","6,356","20,549",2.8
98-99,0.279548,"5,415","1,514","4,658","14,194",2.6
99-100,0.301715,"3,901","1,177","3,313","9,535",2.4
